robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
10600,0.000000,0.000000,2,-0.011739,0.178860,0.607675,3,0.531642,0.134776,0.508435
10700,-0.000000,-0.000000,3,0.519717,0.132133,0.496118,2,0.005153,0.179665,0.623367
10800,0.000000,0.000000,2,0.012156,0.177889,0.623749,3,0.539991,0.136934,0.514613
10900,0.000000,0.000000,2,0.010940,0.179192,0.629970,3,0.539991,0.136934,0.514613
11000,-0.000000,-0.000000,2,0.006926,0.177904,0.623858,3,0.539991,0.136934,0.514613
11100,-0.000000,-0.000000,2,-0.003669,0.179153,0.641566,3,0.531642,0.134776,0.508435
11200,-0.000000,-0.000000,2,-0.020971,0.184824,0.677963,3,0.539991,0.136934,0.514613
11300,0.000000,0.000000,2,-0.040623,0.187397,0.698203,3,0.539991,0.136934,0.514613
11400,-0.000000,-0.000000,2,-0.070159,0.188542,0.720696,3,0.539991,0.136934,0.514613
11500,-0.000000,-0.000000,2,-0.097631,0.191958,0.748676,3,0.531642,0.134776,0.508435
11600,0.000000,0.000000,2,-0.124425,0.192546,0.763546,3,0.539991,0.136934,0.514613
11700,-0.000000,-0.000000,2,-0.152823,0.195453,0.786050,3,0.519717,0.132133,0.496118
11800,-0.000000,-0.000000,2,-0.169670,0.193710,0.790847,3,0.539991,0.136934,0.514613
11900,-0.000000,-0.000000,2,-0.207316,0.199726,0.828317,3,0.531642,0.134776,0.508435
12000,-0.000000,-0.000000,2,-0.232371,0.201191,0.843725,3,0.539991,0.136934,0.514613
12100,0.000000,0.000000,2,-0.252021,0.204647,0.863531,3,0.539991,0.136934,0.514613
12200,-0.000000,-0.000000,2,-0.272981,0.208738,0.880476,3,0.539991,0.136934,0.514613
12300,0.000000,0.000000,2,-0.311547,0.206036,0.880504,3,0.531642,0.134776,0.508435
12400,-0.000000,-0.000000,2,-0.332555,0.210278,0.897964,3,0.531642,0.134776,0.508435
12500,0.000000,0.000000,3,0.539991,0.136934,0.514613,2,-0.371773,0.218045,0.937370
12600,7.831031,7.968969,3,0.539991,0.136934,0.514613,2,-0.400681,0.216561,0.935571
12700,0.000000,0.000000,3,0.531642,0.134776,0.508435,2,-9999.000000,-9999.000000,-9999.000000
12800,0.000000,0.000000,2,-0.459679,0.222328,0.967383,3,0.531642,0.134776,0.508435
12900,0.000000,0.000000,2,-0.470373,0.217601,0.962627,3,0.531642,0.134776,0.508435
13000,0.000000,0.000000,2,-0.482776,0.217294,0.976348,3,0.539991,0.136934,0.514613
13100,0.000000,0.000000,2,-0.471215,0.222339,0.963631,3,0.531642,0.134776,0.508435
13200,0.000000,0.000000,2,-0.465447,0.222333,0.965520,3,0.531642,0.134776,0.508435
13300,0.000000,0.000000,2,-0.441692,0.222115,0.952886,3,0.539991,0.136934,0.514613
13400,0.000000,0.000000,2,-0.416478,0.220055,0.933776,3,0.539991,0.136934,0.514613
13500,0.000000,0.000000,2,-0.378254,0.211243,0.896384,3,0.539991,0.136934,0.514613
13600,0.000000,0.000000,2,-0.360851,0.208875,0.879917,3,0.539991,0.136934,0.514613
13700,0.000000,0.000000,3,0.531642,0.134776,0.508435,2,-9999.000000,-9999.000000,-9999.000000
13800,0.000000,0.000000,2,-0.317819,0.207966,0.866613,3,0.531642,0.134776,0.508435
13900,0.000000,0.000000,2,-0.289351,0.210668,0.868006,3,0.531642,0.134776,0.508435
14000,-0.000000,-0.000000,2,-0.260684,0.201333,0.819622,3,0.531642,0.134776,0.508435
14100,-0.000000,-0.000000,2,-0.238708,0.199495,0.808358,3,0.531642,0.134776,0.508435
14200,-0.000000,-0.000000,2,-0.216570,0.196052,0.782882,3,0.539991,0.136934,0.514613
14300,-0.000000,-0.000000,2,-0.205303,0.197606,0.781848,3,0.539991,0.136934,0.514613
14400,-0.000000,-0.000000,2,-0.175226,0.194037,0.753722,3,0.531642,0.134776,0.508435
14500,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
14600,-0.000000,-0.000000,2,-0.129204,0.193296,0.727323,3,0.539991,0.136934,0.514613
14700,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-9999.000000,-9999.000000,-9999.000000
