robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
3840,0.000000,0.000000,2,0.640522,-0.246697,0.908551,3,-0.419950,-0.168286,0.623424
3860,0.000000,0.000000,2,0.640522,-0.246697,0.908551,3,-0.419950,-0.168286,0.623424
3880,0.000000,0.000000,2,0.634684,-0.246656,0.911449,3,-0.419950,-0.168286,0.623424
3900,0.000000,0.000000,2,0.600216,-0.236803,0.872506,3,-0.420504,-0.168866,0.626214
3920,0.000000,0.000000,2,0.600216,-0.236803,0.872506,3,-0.420504,-0.168866,0.626214
3940,0.000000,0.000000,2,0.605261,-0.242578,0.894993,3,-0.420504,-0.168866,0.626214
3960,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3980,0.000000,0.000000,2,0.572959,-0.233106,0.857429,3,-0.420291,-0.168608,0.624907
4000,0.000000,0.000000,2,0.567570,-0.233092,0.860062,3,-0.420504,-0.168866,0.626214
4020,0.000000,0.000000,2,0.567570,-0.233092,0.860062,3,-0.420504,-0.168866,0.626214
4040,0.000000,0.000000,2,0.571485,-0.238718,0.882444,3,-0.420976,-0.168492,0.623959
4060,0.000000,0.000000,2,0.562935,-0.239173,0.881393,3,-0.420504,-0.168866,0.626214
4080,0.000000,0.000000,2,0.562935,-0.239173,0.881393,3,-0.420504,-0.168866,0.626214
4100,0.000000,0.000000,2,0.548487,-0.235664,0.868150,3,-0.415213,-0.166868,0.616304
4120,0.000000,0.000000,2,0.548487,-0.235664,0.868150,3,-0.415213,-0.166868,0.616304
4140,0.000000,0.000000,2,0.540643,-0.235508,0.870906,3,-0.419950,-0.168286,0.623424
4160,0.000000,0.000000,2,0.532926,-0.236387,0.872209,3,-0.420504,-0.168866,0.626214
4180,0.000000,0.000000,2,0.532926,-0.236387,0.872209,3,-0.420504,-0.168866,0.626214
4200,0.000000,0.000000,2,0.504047,-0.227415,0.836799,3,-0.420504,-0.168866,0.626214
4220,0.000000,0.000000,2,0.504047,-0.227415,0.836799,3,-0.420504,-0.168866,0.626214
4240,0.000000,0.000000,2,0.509349,-0.232842,0.856479,3,-0.420504,-0.168866,0.626214
